1,0
17596,1
11472,2
2204,3
9212,4
7272,5
2144,6
6661,7
15141,8
12712,9
7322,10
7245,11
9029,12
384,13
9186,14
13902,15
7339,16
2910,17
7692,18
2150,19
5131,20
12569,21
8085,22
9041,23
15175,24
4042,25
4648,26
10777,27
919,28
15569,29
10678,30
8313,31
4454,32
6694,33
6726,34
16417,35
8650,36
7774,37
16942,38
17583,39
14787,40
13727,41
16262,42
12473,43
14714,44
14491,45
17803,46
12240,47
2725,48
1314,49
4099,50
7964,51
4194,52
1590,53
5123,54
14609,55
5564,56
9260,57
12883,58
17270,59
5347,60
11042,61
4748,62
3128,63
5655,64
3906,65
3626,66
3622,67
4642,68
12307,69
3491,70
2345,71
8959,72
383,73
9441,74
2430,75
5135,76
11549,77
420,78
6,79
16321,80
15279,81
13224,82
1719,83
7930,84
12864,85
4264,86
1591,87
4868,88
8230,89
7768,90
621,91
2304,92
1563,93
12008,94
8332,95
17460,96
10450,97
12900,98
12935,99
4010,100
12808,101
693,102
1795,103
6401,104
10037,105
11109,106
5514,107
4159,108
10515,109
14176,110
8873,111
4462,112
4654,113
9247,114
16198,115
10942,116
12397,117
16243,118
17318,119
10958,120
8317,121
3434,122
16880,123
15542,124
17563,125
2036,126
16350,127
7884,128
6743,129
12082,130
7313,131
9540,132
12887,133
