11844,0
7366,1
12551,2
16900,3
2022,4
8709,5
2206,6
17553,7
12065,8
3630,9
15370,10
4543,11
8417,12
12231,13
743,14
15145,15
9639,16
7324,17
8980,18
17172,19
16648,20
16298,21
10341,22
707,23
9534,24
7322,25
9660,26
184,27
8844,28
9859,29
3928,30
3305,31
913,32
10898,33
7688,34
10177,35
2914,36
8896,37
10030,38
17192,39
9848,40
7668,41
16977,42
11544,43
2260,44
17044,45
6615,46
126,47
10713,48
17035,49
9675,50
12935,51
11297,52
14836,53
7593,54
6775,55
17130,56
13077,57
16570,58
7116,59
8296,60
17669,61
8327,62
7129,63
3876,64
3134,65
5500,66
4355,67
933,68
4098,69
16909,70
16813,71
13751,72
1622,73
1901,74
14147,75
9790,76
9537,77
6302,78
17291,79
11890,80
9577,81
10553,82
31,83
7311,84
13400,85
13856,86
1624,87
1221,88
13284,89
17594,90
15976,91
12715,92
14693,93
2660,94
6001,95
12525,96
7889,97
13241,98
14363,99
7754,100
5588,101
10137,102
16514,103
8305,104
14609,105
13369,106
6545,107
6075,108
5216,109
11660,110
16373,111
2692,112
12972,113
16568,114
7796,115
9159,116
9865,117
1888,118
716,119
6474,120
12364,121
9076,122
2383,123
10926,124
16019,125
15946,126
5064,127
9787,128
10557,129
16522,130
5585,131
11157,132
8883,133
